指標名稱,年度季別,分區業務組,縣市別,醫事機構代碼,醫事機構名稱,院所指標值,所屬分區業務組指標值,全國指標值
就診後同日於同醫院因同疾病再次就診率,101Q4,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0056,0.01060,0.00930
就診後同日於同醫院因同疾病再次就診率,103Q4,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0048,0.00990,0.00940
就診後同日於同醫院因同疾病再次就診率,100Q4,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0050,0.01010,0.00880
就診後同日於同醫院因同疾病再次就診率,101Q1,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0048,0.01000,0.00870
就診後同日於同醫院因同疾病再次就診率,106Q1,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0050,0.00990,0.00940
就診後同日於同醫院因同疾病再次就診率,106Q2,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0053,0.01000,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0052,0.01010,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0049,0.00840,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q2,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0050,0.00830,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q1,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0051,0.00810,0.00940
就診後同日於同醫院因同疾病再次就診率,103Q1,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0028,0.00730,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q1,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0019,0.00610,0.00820
就診後同日於同醫院因同疾病再次就診率,103Q2,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0028,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,100Q2,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0022,0.00660,0.00870
就診後同日於同醫院因同疾病再次就診率,100Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0020,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,103Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0034,0.00800,0.00970
就診後同日於同醫院因同疾病再次就診率,105Q4,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0049,0.00810,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0023,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0023,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q1,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0031,0.00700,0.00880
就診後同日於同醫院因同疾病再次就診率,105Q2,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0039,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q4,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0029,0.00760,0.00960
就診後同日於同醫院因同疾病再次就診率,100Q1,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0034,0.00610,0.00820
就診後同日於同醫院因同疾病再次就診率,103Q1,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0049,0.00730,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q2,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0042,0.00660,0.00870
就診後同日於同醫院因同疾病再次就診率,103Q2,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0058,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,100Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0037,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,103Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0064,0.00800,0.00970
就診後同日於同醫院因同疾病再次就診率,105Q4,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0073,0.00810,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0052,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0052,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q1,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0058,0.00700,0.00880
就診後同日於同醫院因同疾病再次就診率,102Q4,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0057,0.00760,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q2,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0068,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0063,0.00800,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q1,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0067,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q1,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0048,0.00690,0.00920
就診後同日於同醫院因同疾病再次就診率,104Q2,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0073,0.00790,0.00970
就診後同日於同醫院因同疾病再次就診率,102Q2,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0048,0.00710,0.00950
就診後同日於同醫院因同疾病再次就診率,104Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0062,0.00790,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q4,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0067,0.00770,0.00930
就診後同日於同醫院因同疾病再次就診率,100Q4,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0039,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,101Q1,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0042,0.00650,0.00870
就診後同日於同醫院因同疾病再次就診率,101Q2,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0043,0.00710,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0046,0.00660,0.00920
就診後同日於同醫院因同疾病再次就診率,103Q4,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0069,0.00780,0.00940
就診後同日於同醫院因同疾病再次就診率,101Q4,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0046,0.00700,0.00930
就診後同日於同醫院因同疾病再次就診率,106Q1,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0077,0.00810,0.00940
就診後同日於同醫院因同疾病再次就診率,106Q2,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0073,0.00830,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q3,高屏業務組,高雄市鼓山區,0102020011,高雄市立聯合醫院,0.0068,0.00840,0.00950
就診後同日於同醫院因同疾病再次就診率,100Q1,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0055,0.00610,0.00820
就診後同日於同醫院因同疾病再次就診率,103Q1,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0057,0.00730,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q2,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0063,0.00660,0.00870
就診後同日於同醫院因同疾病再次就診率,103Q2,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0054,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,100Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0063,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,103Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0058,0.00800,0.00970
就診後同日於同醫院因同疾病再次就診率,105Q4,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0067,0.00810,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0046,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0046,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q1,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0056,0.00700,0.00880
就診後同日於同醫院因同疾病再次就診率,105Q2,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0064,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q4,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0053,0.00760,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0063,0.00800,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q1,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0056,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q1,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0044,0.00690,0.00920
就診後同日於同醫院因同疾病再次就診率,105Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0038,0.00800,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q1,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0033,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q1,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0025,0.00690,0.00920
就診後同日於同醫院因同疾病再次就診率,104Q2,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0035,0.00790,0.00970
就診後同日於同醫院因同疾病再次就診率,102Q2,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0018,0.00710,0.00950
就診後同日於同醫院因同疾病再次就診率,104Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0043,0.00790,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q4,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0044,0.00770,0.00930
就診後同日於同醫院因同疾病再次就診率,100Q4,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0020,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,101Q1,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0015,0.00650,0.00870
就診後同日於同醫院因同疾病再次就診率,101Q2,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0021,0.00710,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q3,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0022,0.00660,0.00920
就診後同日於同醫院因同疾病再次就診率,103Q4,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0038,0.00780,0.00940
就診後同日於同醫院因同疾病再次就診率,101Q4,高屏業務組,高雄市苓雅區,0102080017,高雄市立民生醫院,0.0026,0.00700,0.00930
就診後同日於同醫院因同疾病再次就診率,103Q1,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0054,0.01030,0.00920
就診後同日於同醫院因同疾病再次就診率,103Q2,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0049,0.01060,0.00960
就診後同日於同醫院因同疾病再次就診率,100Q2,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0062,0.00990,0.00870
就診後同日於同醫院因同疾病再次就診率,103Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0048,0.01040,0.00970
就診後同日於同醫院因同疾病再次就診率,100Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0056,0.01000,0.00880
就診後同日於同醫院因同疾病再次就診率,103Q4,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0046,0.00990,0.00940
就診後同日於同醫院因同疾病再次就診率,105Q4,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0039,0.00970,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0063,0.01070,0.00960
就診後同日於同醫院因同疾病再次就診率,104Q4,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0045,0.00990,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q1,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0052,0.00940,0.00880
就診後同日於同醫院因同疾病再次就診率,105Q2,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0055,0.00970,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0051,0.00970,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q4,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0055,0.01060,0.00960
就診後同日於同醫院因同疾病再次就診率,100Q1,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0056,0.00950,0.00820
就診後同日於同醫院因同疾病再次就診率,102Q1,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0048,0.01040,0.00920
就診後同日於同醫院因同疾病再次就診率,104Q2,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0050,0.01000,0.00970
就診後同日於同醫院因同疾病再次就診率,102Q2,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0051,0.01070,0.00950
就診後同日於同醫院因同疾病再次就診率,104Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0048,0.00950,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0063,0.01070,0.00960
就診後同日於同醫院因同疾病再次就診率,100Q4,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0054,0.01010,0.00880
就診後同日於同醫院因同疾病再次就診率,101Q1,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0048,0.01000,0.00870
就診後同日於同醫院因同疾病再次就診率,101Q2,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0051,0.01040,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0052,0.01050,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q4,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0048,0.01060,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q1,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0050,0.00980,0.00930
就診後同日於同醫院因同疾病再次就診率,106Q1,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0048,0.00990,0.00940
就診後同日於同醫院因同疾病再次就診率,106Q2,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0047,0.01000,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q3,臺北業務組,基隆市信義區,0111070010,衛生福利部基隆醫院,0.0049,0.01010,0.00950
就診後同日於同醫院因同疾病再次就診率,103Q1,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0140,0.01030,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q2,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0110,0.00940,0.00870
就診後同日於同醫院因同疾病再次就診率,103Q2,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0153,0.01070,0.00960
就診後同日於同醫院因同疾病再次就診率,104Q2,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0062,0.00790,0.00970
就診後同日於同醫院因同疾病再次就診率,102Q2,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0039,0.00710,0.00950
就診後同日於同醫院因同疾病再次就診率,104Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0060,0.00790,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q4,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0060,0.00770,0.00930
就診後同日於同醫院因同疾病再次就診率,100Q4,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0054,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,101Q1,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0048,0.00650,0.00870
就診後同日於同醫院因同疾病再次就診率,101Q2,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0053,0.00710,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0046,0.00660,0.00920
就診後同日於同醫院因同疾病再次就診率,103Q4,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0053,0.00780,0.00940
就診後同日於同醫院因同疾病再次就診率,101Q4,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0039,0.00700,0.00930
就診後同日於同醫院因同疾病再次就診率,106Q3,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0068,0.00840,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q2,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0066,0.00830,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q1,高屏業務組,高雄市前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,0.0068,0.00810,0.00940
就診後同日於同醫院因同疾病再次就診率,103Q1,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0002,0.00730,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q1,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00610,0.00820
就診後同日於同醫院因同疾病再次就診率,103Q2,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q4,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00810,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q2,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q4,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00760,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0004,0.00800,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,106Q1,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0004,0.00810,0.00940
就診後同日於同醫院因同疾病再次就診率,106Q2,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0006,0.00830,0.00950
就診後同日於同醫院因同疾病再次就診率,106Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00840,0.00950
就診後同日於同醫院因同疾病再次就診率,102Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00750,0.00960
就診後同日於同醫院因同疾病再次就診率,104Q4,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00770,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q1,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00700,0.00880
就診後同日於同醫院因同疾病再次就診率,104Q2,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00790,0.00970
就診後同日於同醫院因同疾病再次就診率,102Q2,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00710,0.00950
就診後同日於同醫院因同疾病再次就診率,104Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00790,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q1,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0002,0.00750,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q1,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0004,0.00690,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0004,0.00660,0.00920
就診後同日於同醫院因同疾病再次就診率,103Q4,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00780,0.00940
就診後同日於同醫院因同疾病再次就診率,101Q4,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00700,0.00930
就診後同日於同醫院因同疾病再次就診率,100Q4,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,101Q1,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00650,0.00870
就診後同日於同醫院因同疾病再次就診率,101Q2,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00710,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q2,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0002,0.00660,0.00870
就診後同日於同醫院因同疾病再次就診率,103Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0001,0.00800,0.00970
就診後同日於同醫院因同疾病再次就診率,100Q3,高屏業務組,高雄市苓雅區,0102080026,高雄市立凱旋醫院,0.0000,0.00670,0.00880
就診後同日於同醫院因同疾病再次就診率,103Q1,臺北業務組,新北市新莊區,0131060010,衛生福利部樂生療養院,0.0145,0.01030,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q2,臺北業務組,新北市新莊區,0131060010,衛生福利部樂生療養院,0.0152,0.00990,0.00870
就診後同日於同醫院因同疾病再次就診率,105Q3,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0152,0.01050,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q4,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0150,0.01030,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q1,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0149,0.01020,0.00880
就診後同日於同醫院因同疾病再次就診率,102Q4,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0149,0.01060,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q2,中區業務組,臺中市西區,0117030010,衛生福利部臺中醫院,0.0148,0.01060,0.00930
